,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,9,8,6,1,1,26,1,3,11,18,7,22,43,1,8,28,46,7,15,3,3,6,32,48,32,4,6,85,11,56,24,6,9,11,1,15,4,8,1,2,6,12,20,26,31,59,10,5,14,10,16,5,43,2,10,38,27,1,25,2,14,1,3,19,15,30,5,18,17,2,34,26,61,26,10,1,35,81,27,1,15,3,12,2,1,2,6,12,19,5,1,28,26,19,56,5,22,10,11,7,28,25,7,3,4,3,3,3,64,3,24,6,8,15,4,14,2,3,32,10,19,8,4,13,10,10,6,8,14,2,3,6,3,8,3,1,3,6,2,24,10,2,8,34,12,12,18,9,6,7
,8,25,7,13,19,9,47,30,24,26,34,8,13,5,1,14,68,8,5,10,19,8,14,22,11,7,2,2,4,12,53,19,11,16,4,1,10,23,35,26,9,63,15,15,24,17,20,16,10,9,28,7,3,8,17,7,4,25,12,10,7,50,1,13,4,9,2,4,5,31,4,11,21,22,5,6,2,35,1,30,7,13,22,5,37,4,10,9,4,3,13,23,4,14,28,7,4,54,10,7,2,3,7,51,13,4,4,5,2,3,4,2,6,2,7,3,2,2,3,5,2,2,7,4,7,2,4,10,4,4,7,4,3,4,4,3,4,4,4,2,5,9,3,7,2,4,4,3,2,2
,28,19,2,17,3,14,49,16,5,21,27,2,9,8,37,3,9,30,24,1,6,16,3,16,7,16,13,1,44,45,7,25,8,7,9,4,33,15,21,45,14,18,6,1,4,3,2,23,10,29,77,12,3,6,4,1,21,13,40,34,15,1,23,11,29,11,2,14,14,22,3,24,4,17,20,13,1,27,10,2,33,27,3,21,7,3,17,85,14,7,21,15,2,84,37,3,5,5,21,5,3,5,5,3,5,11,11,16,5,4,3,4,3,5,5,3,5,1,4,3,3,3,3,2,3,3,1,5,4,3,2,2,3,2,5,2,4,3,3,5,3,3,5,5,4,4,3,1,3,2
,23,38,35,38,11,14,3,7,43,14,1,36,3,18,7,11,26,26,4,1,5,6,7,8,7,4,14,16,1,9,6,39,15,6,10,23,9,2,56,1,7,44,9,1,6,12,33,2,1,3,13,3,1,26,10,1,13,6,11,1,28,4,11,4,15,26,11,12,10,36,3,29,2,11,36,26,24,1,23,5,3,12,3,1,32,19,31,14,2,2,6,12,20,13,6,19,9,10,8,4,32,12,10,8,7,10,12,9,8,1,6,1,6,6,9,1,37,10,6,6,9,16,6,9,8,4,1,20,1,5,19,1,4,10,4,10,10,6,1,4,10,6,4,5,5,5,16,10,14,18
,28,65,6,19,26,8,9,10,4,4,8,1,36,37,41,35,25,20,55,19,14,3,35,7,11,15,85,19,10,7,5,2,10,3,1,11,7,8,7,12,3,59,54,15,3,15,34,18,8,4,14,8,13,4,7,37,11,20,16,5,8,21,39,12,3,3,34,14,6,3,4,3,4,6,32,18,39,1,3,13,12,20,4,4,24,7,15,7,14,3,30,30,19,12,12,6,40,25,34,8,2,3,21,20,12,6,3,15,7,7,7,21,3,5,3,9,3,1,8,20,3,22,4,9,3,48,12,7,18,6,48,11,88,32,11,5,35,3,20,13,12,20,5,5,12,16,7,13,35,6
,2,25,3,12,21,19,11,15,16,41,9,34,14,5,10,5,23,16,3,57,11,13,1,19,2,1,40,4,11,7,27,13,8,25,45,3,4,9,14,31,3,4,10,3,48,11,2,2,9,9,28,17,14,18,9,40,27,3,33,58,3,27,2,20,2,11,2,25,57,13,11,1,12,10,35,22,8,3,7,4,6,12,32,18,16,36,3,4,20,4,71,11,21,31,6,33,6,5,14,8,1,13,15,20,2,60,97,7,5,5,3,5,7,5,7,3,7,5,5,5,7,3,7,7,5,7,3,5,7,5,7,7,7,7,3,55,16,3,7,7,13,7,3,6,3,30,5,3,7,5
,2,9,13,40,4,1,1,59,55,13,5,13,5,12,45,16,45,33,20,20,17,3,6,1,13,11,6,5,7,1,7,4,71,30,27,22,16,1,44,28,40,46,104,65,15,11,19,29,22,35,44,19,14,9,117,14,14,16,10,24,1,3,1,60,69,17,27,6,18,3,31,105,50,18,9,10,28,7,1,19,18,6,7,12,4,17,22,7,11,25,35,7,28,10,14,31,2,49,8,42,140,3,13,59,1,7,4,87,76,87,6,4,7,60,10,7,121,57,5,13,4,4,4,144,5,1,4,62,4,1,27,31,81,4,4,1,87,1,24,12,10,125,23,120,1,21,23,1,21,7
,21,51,60,32,27,19,72,5,5,37,17,9,22,6,39,15,46,55,32,76,7,31,2,3,51,3,118,1,46,30,20,5,20,4,20,44,1,6,3,53,5,17,119,11,12,15,7,7,109,80,7,6,4,46,39,117,70,7,159,1,21,16,142,6,7,13,102,9,1,51,8,75,5,18,37,53,24,5,21,4,28,30,69,4,15,51,91,43,3,104,26,41,12,27,15,51,25,67,36,12,13,5,7,41,5,1,7,9,71,8,2,1,2,2,11,1,9,39,4,2,15,4,4,19,31,2,6,22,4,24,3,4,11,25,24,3,11,4,20,3,4,3,2,12,26,19,14,1,13,8
,18,31,1,3,7,11,7,2,58,7,9,2,1,20,18,4,36,4,6,55,59,2,21,30,24,23,3,29,11,10,8,46,14,42,4,99,33,52,13,2,14,5,38,21,25,48,2,3,56,16,3,26,21,13,46,13,18,58,3,36,5,11,25,5,29,2,2,20,26,63,39,12,8,11,12,2,3,2,52,47,30,27,23,16,71,79,26,24,19,1,17,4,9,30,39,17,87,60,2,41,26,1,5,8,10,1,12,9,26,14,31,3,1,1,2,12,9,63,36,2,35,15,50,3,14,5,18,10,42,11,5,1,2,1,21,22,13,7,20,5,14,3,17,11,3,18,4,53,23,4
,2,11,15,32,35,25,30,2,13,18,62,31,65,25,2,27,2,4,30,24,13,95,4,4,3,16,13,29,5,49,20,13,18,27,26,3,3,32,41,30,2,5,3,15,2,3,12,2,23,1,5,26,7,27,30,9,1,21,1,8,16,15,22,4,2,9,7,19,9,10,3,38,12,11,4,12,1,67,9,7,2,13,2,34,26,41,54,10,5,9,22,8,18,11,17,18,28,4,12,5,12,49,5,1,3,26,5,29,18,7,6,12,5,7,6,9,3,9,6,2,3,3,11,2,19,17,11,8,1,24,15,2,6,3,7,6,2,1,21,15,2,3,5,22,6,1,1,13,2,9
TFSocketAgent1 Average,14.1,28.2,14.8,20.7,15.4,14.6,23,14.9,23.4,19.9,17.9,15.8,21.1,13.7,20.8,15.8,32.6,20.3,19.4,26.6,15.4,18.3,12.5,15.8,16.1,10,30,19.1,15,22.6,17.7,17.2,18.4,17.1,14.7,22.5,12,15.6,23.5,23,10.3,27.3,37.8,17.3,17,19.4,14.1,10.7,26.2,19.6,23.5,12.9,12.3,15.9,28.9,27.7,20.6,17,31,17.9,11.8,14.9,26.9,15.4,17.5,13.1,19.4,14.1,16.3,23.4,14,32.4,17.9,15,20,16.3,16.5,22.9,15.4,13.2,15.4,16.3,17.7,11.7,23.3,25.9,27.5,21.5,11.1,16.3,24.2,17.9,15.9,25.1,23,19,22.8,28.9,15.6,13.9,25.9,11.9,9.5,21.4,6.2,12.9,15.8,18.9,28.2,13.9,9.2,5.9,4.8,10.8,6.4,6.2,19.8,19,10.9,6.8,10,8,10,21.2,10.5,9.9,6.6,15.7,9.9,8.5,13.6,6.9,20.8,9.6,8.6,10.8,18.5,3.8,12.2,9,8.3,18.1,7.5,22.7,7.4,13,9.5,10.7,12.6,6.8
TFSocketAgent1 Smoothed,,,,18.68571429,18.8,18.11428571,18.84285714,18.44285714,18.5,19.42857143,18.1,18.94285714,17.85714286,19.67142857,20.01428571,20.52857143,21.31428571,21.55714286,21.2,20.72857143,18.32857143,17.72857143,16.38571429,16.87142857,17.4,16.92857143,18.37142857,18.64285714,18.8,20,18.15714286,17.52857143,18.6,17.08571429,16.78571429,17.68571429,18.34285714,17.37142857,19.17142857,21.35714286,22.11428571,22.31428571,21.72857143,20.45714286,20.51428571,20.35714286,17.75714286,18.64285714,18.05714286,17.04285714,17.3,19.9,20.11428571,20.25714286,19.32857143,21.91428571,22.71428571,22.12857143,20.12857143,20.01428571,19.27142857,19.34285714,16.78571429,17,17.32857143,17.52857143,17.02857143,16.82857143,18.95714286,19.64285714,19.01428571,19.85714286,19.85714286,18.87142857,20.14285714,17.71428571,17.04285714,17.1,16.57142857,16.77142857,16.08571429,16.14285714,17.64285714,19.68571429,20.55714286,19.81428571,19.61428571,21.4,20.62857143,19.2,18.85714286,19.07142857,20.2,21.12857143,21.8,21.47142857,21.18571429,21.3,19.71428571,18.35714286,18.15714286,14.91428571,14.52857143,14.8,13.8,16.12857143,16.75714286,15.01428571,14.97142857,13.81428571,13.1,11.31428571,8.171428571,9.014285714,10.41428571,11.12857143,11.41428571,11.3,11.52857143,12.07142857,12.27142857,11.05714286,10.91428571,10.88571429,11.7,11.97142857,11.75714286,10.67142857,10.15714286,11.71428571,12.14285714,11.12857143,11.25714286,12.68571429,11.28571429,12.04285714,10.35714286,10.17142857,11.52857143,11.05714286,11.65714286,12.17142857,12.28571429,12.35714286,12.7,11.91428571,11.81428571,,,
Optimal,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
E-Greedy Avg. Opt.,,,,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,3.055555556,,,
