,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,11,30,3,51,18,11,102,10,18,34,100,98,77,1,7,1,21,63,22,77,10,5,48,4,30,22,24,38,17,61,22,57,52,20,25,125,62,209,2,40,20,4,34,118,25,7,22,23,39,141,47,31,4,75,64,117,107,64,36,19,281,4,82,142,38,157,18,143,7,11,42,9,23,71,42,70,48,142,16,35,162,25,51,1,59,93,26,136,17,6,46,118,102,65,89,59,187,88,113,5,21,39,16,9,12,9,4,5,3,21,3,4,3,8,5,8,3,4,8,1,11,4,4,9,5,2,6,8,2,3,7,2,2,2,5,11,1,2,17,3,5,4,1,12,13,6,13,4,4,4
,17,30,20,8,3,2,12,6,44,34,46,4,18,59,1,49,9,12,7,13,30,114,82,13,118,31,33,14,3,13,17,51,4,1,6,29,3,14,33,3,3,12,45,11,56,10,7,17,17,3,38,48,24,70,87,4,65,28,15,55,56,41,11,15,76,44,11,34,10,12,24,83,30,17,37,1,52,27,3,13,68,15,18,68,3,47,23,20,60,1,7,24,1,91,21,58,17,22,131,25,13,37,11,7,33,1,9,13,12,11,4,4,16,24,12,21,1,2,2,11,9,17,51,5,40,31,6,46,17,1,12,4,7,4,14,24,8,29,20,17,21,3,12,34,13,4,19,21,3,85
,8,73,39,24,33,4,2,30,37,19,7,5,10,33,24,51,13,15,10,102,41,2,8,21,5,15,7,18,23,19,17,18,53,12,25,3,36,3,41,98,27,16,106,1,8,12,17,68,82,16,6,12,5,54,59,5,11,42,16,24,39,21,25,4,80,17,10,25,43,35,23,73,42,18,20,21,33,49,7,27,3,4,10,15,8,2,4,34,44,27,16,8,4,41,9,13,20,41,18,41,12,23,31,8,14,38,33,11,31,10,3,8,9,4,17,11,16,5,5,9,5,24,7,5,5,4,5,3,9,3,3,1,4,7,4,8,13,18,4,4,1,1,6,7,9,13,6,10,20,1
,24,33,110,94,51,33,21,33,27,37,118,202,14,40,21,74,98,75,41,2,140,69,36,26,43,4,113,95,15,27,92,112,49,20,35,34,61,249,28,114,6,81,69,12,102,89,22,281,2,25,227,1,7,42,61,43,19,10,34,86,93,19,54,21,132,36,54,38,13,103,174,53,110,41,20,6,53,51,10,19,127,14,27,93,55,43,45,8,63,7,8,33,8,5,35,3,56,128,18,33,60,2,2,24,4,27,10,7,21,15,11,14,28,5,18,5,5,5,5,2,4,10,5,1,2,18,13,5,15,18,21,9,9,2,11,5,5,17,5,2,11,8,5,20,2,18,10,2,11,2
,26,2,16,114,56,1,21,105,5,23,33,17,86,36,50,19,62,46,7,8,9,14,8,8,74,27,20,13,1,55,23,7,75,66,21,14,15,22,12,42,2,67,35,10,14,1,12,31,7,44,65,9,17,70,47,13,46,2,36,1,10,30,1,4,9,15,12,7,5,4,26,11,14,64,3,57,3,55,5,3,2,9,75,43,7,7,25,18,14,27,80,12,31,50,41,46,8,75,12,23,39,44,1,13,13,2,16,46,1,5,5,5,30,4,10,15,45,6,13,4,45,39,11,69,16,17,5,14,16,5,14,20,21,55,7,45,23,12,1,5,12,5,51,21,16,9,23,6,23,25
,6,40,2,8,9,6,17,6,180,34,20,6,18,6,3,28,14,141,3,46,7,13,52,1,22,23,10,75,60,18,4,94,133,9,30,46,31,4,41,8,34,19,17,44,8,5,167,60,85,50,2,24,102,46,29,5,31,24,42,26,107,24,89,16,62,37,30,35,43,1,11,23,52,99,149,31,20,86,7,36,9,36,2,68,2,13,30,18,133,63,45,10,17,22,38,62,8,27,74,96,22,10,1,22,13,24,13,15,2,7,7,2,11,45,2,12,8,2,15,3,7,4,1,6,9,6,3,5,1,7,3,8,3,13,8,7,7,8,6,8,42,8,13,17,6,13,2,3,6,11
,29,50,7,52,49,2,18,28,60,30,7,83,25,14,20,32,42,54,24,7,114,34,27,21,10,13,9,26,114,2,10,33,48,13,44,5,14,26,58,28,66,76,20,2,79,41,33,41,56,43,1,47,7,113,8,54,5,7,30,18,6,3,22,8,9,17,143,41,38,24,32,45,30,89,21,3,97,9,169,20,19,1,3,33,14,149,40,3,42,2,19,2,23,12,35,12,18,7,18,41,64,28,14,8,4,13,44,12,14,33,4,36,5,5,12,4,84,29,12,25,1,11,5,10,26,8,3,38,28,22,12,48,22,13,13,23,73,4,22,1,10,1,38,5,73,47,21,4,9,9
,4,2,21,52,1,8,13,54,1,29,71,124,30,29,9,29,31,13,23,60,6,16,17,53,7,29,49,67,30,16,21,10,11,46,44,41,14,41,23,21,9,1,63,3,22,15,92,62,6,10,53,10,42,3,28,84,30,113,100,19,56,11,74,14,42,70,58,7,65,55,8,5,2,135,11,12,38,52,113,36,87,31,17,13,31,7,7,45,67,21,8,37,97,24,7,3,78,13,7,8,40,13,3,11,13,4,6,4,40,8,49,56,6,14,17,18,30,14,16,17,31,12,15,6,14,10,6,15,5,19,19,60,5,44,12,9,19,19,26,15,18,38,45,21,1,19,10,1,42,19
,84,27,70,72,44,36,33,89,1,19,8,219,16,5,15,98,24,31,45,116,1,33,62,45,6,89,77,13,18,102,12,8,25,39,9,36,4,29,10,20,18,32,5,11,78,69,95,46,111,24,31,9,6,53,109,20,28,3,25,52,68,57,2,6,68,77,122,13,292,30,21,53,37,158,29,47,153,3,19,29,38,29,41,61,31,162,43,10,9,26,12,4,21,42,3,18,39,35,215,37,29,48,36,36,12,12,34,20,22,27,12,17,1,34,16,1,23,5,53,349,76,5,15,13,8,1,6,8,38,46,9,45,69,6,6,8,20,1,13,20,9,53,6,19,8,10,8,12,16,95
,25,28,14,4,44,8,24,88,34,1,110,16,23,5,26,48,27,84,7,10,98,147,74,1,102,29,8,49,50,1,46,63,95,64,39,41,4,40,1,40,97,99,30,15,141,34,36,68,24,22,8,1,16,47,30,19,2,39,24,169,102,1,51,2,25,84,18,71,18,99,2,4,10,2,90,57,11,37,2,17,33,123,56,57,50,113,30,73,33,35,29,30,27,31,44,39,34,26,58,46,25,14,12,11,22,6,6,6,6,6,6,6,6,6,6,6,6,6,37,17,13,38,8,5,1,33,190,7,3,23,7,22,8,4,81,9,23,15,4,15,9,5,20,16,9,33,23,1,21,12
