,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,38,5,49,49,12,6,51,34,33,8,39,70,37,50,4,6,47,3,5,26,36,17,39,12,22,11,9,71,13,11,33,33,86,60,21,27,9,1,14,8,22,9,2,13,66,9,9,17,19,13,13,28,11,16,6,8,6,17,10,17,3,19,7,9,13,10,19,103,3,27,9,11,3,3,56,26,4,13,1,8,50,63,1,23,30,4,17,53,2,16,9,5,3,13,13,4,43,19,25,9,76,15,13,11,24,17,10,11,9,56,37,7,10,16,7,6,23,12,10,17,2,26,42,20,9,15,34,21,9,16,8,5,14,37,5,36,55,17,37,4,6,36,2,7,5,9,18,7,16,4
,8,36,34,41,5,5,68,31,26,60,89,53,25,13,5,19,2,15,46,24,10,14,50,12,1,2,33,20,2,2,2,2,3,7,3,12,185,11,12,6,2,7,10,6,8,8,11,8,3,9,7,6,2,4,14,22,9,1,8,3,4,6,2,4,23,15,8,3,4,5,7,14,3,7,4,12,4,1,11,3,2,27,6,2,6,40,5,8,4,2,15,9,2,1,11,1,2,4,9,4,2,4,9,3,9,4,2,2,6,5,6,2,10,4,8,4,4,4,3,18,5,10,14,3,9,10,3,68,3,6,9,5,11,6,7,3,4,4,4,16,2,2,1,5,4,4,4,3,8,10
,10,7,43,8,30,34,22,21,30,15,4,7,85,8,28,7,7,24,3,15,16,59,1,6,23,27,2,12,22,12,2,4,10,1,5,8,10,2,6,1,2,14,19,1,1,7,14,15,8,43,15,1,11,8,5,8,6,7,17,3,6,3,1,9,5,1,1,7,4,7,12,2,5,14,12,8,7,5,3,3,6,9,5,18,4,9,3,1,17,8,5,18,8,11,3,5,6,5,7,12,7,14,9,7,2,6,10,11,10,6,11,10,18,12,12,8,7,15,4,9,4,17,3,12,4,16,3,9,7,9,9,9,9,9,11,6,14,3,5,5,7,9,3,79,10,4,10,18,8,7
,42,10,44,27,25,12,38,56,4,12,45,82,8,16,5,56,8,24,37,5,6,21,28,6,12,24,56,20,9,12,10,4,4,3,4,58,4,5,10,39,11,7,5,21,4,9,14,8,10,15,3,25,16,3,10,2,21,20,7,7,25,18,10,3,9,1,4,4,16,4,4,1,8,2,13,20,3,6,15,8,19,34,13,18,11,14,1,8,7,10,11,6,19,18,14,9,32,8,13,37,1,4,18,3,13,13,19,3,1,4,4,19,12,13,6,13,4,4,1,19,3,19,13,13,19,23,16,16,18,14,18,3,11,19,7,13,19,14,3,19,3,13,8,12,2,1,19,3,2,19
,10,4,38,45,85,21,35,235,123,88,11,11,8,11,10,205,47,39,4,71,19,18,30,20,37,3,21,13,5,121,103,9,3,7,24,57,1,84,3,3,29,63,38,5,109,35,16,187,9,13,42,35,25,39,14,16,5,42,40,7,31,11,36,13,19,83,113,127,8,6,17,8,61,25,21,1,22,9,26,36,35,211,5,3,4,6,33,6,6,27,19,105,27,313,125,8,74,29,2,60,2,14,26,13,2,8,5,4,36,231,4,21,16,27,87,13,13,11,39,185,53,42,22,42,319,44,42,61,32,20,44,18,28,2,27,5,44,20,27,20,4,13,17,10,66,208,2,9,58,38
,77,33,126,131,28,85,61,75,82,14,66,67,18,393,165,12,70,83,8,38,60,23,5,5,9,20,8,216,7,9,18,20,6,32,36,44,2,107,12,30,9,18,16,19,4,44,8,27,23,29,38,7,39,18,17,11,16,11,3,29,24,51,12,27,39,1,6,1,4,9,19,16,19,38,34,7,40,10,19,45,207,15,32,35,34,6,62,14,5,161,36,15,5,33,5,20,5,46,5,2,36,12,57,60,24,213,4,9,63,14,9,9,15,6,11,3,6,14,67,4,6,17,23,4,34,23,19,5,22,41,7,12,9,35,5,4,34,27,29,12,9,40,6,5,5,14,24,7,5,20
,25,50,55,16,83,14,19,18,46,38,1,7,64,1,18,17,19,61,108,21,29,12,5,12,41,22,6,11,2,95,95,2,2,7,20,33,32,10,10,13,25,8,45,28,8,4,41,7,68,14,13,33,9,18,23,49,15,52,75,27,12,14,24,17,11,24,2,53,36,12,36,10,32,23,42,23,16,28,14,12,16,5,33,2,8,21,14,19,4,2,6,5,4,6,51,2,24,32,1,87,4,115,7,1,11,18,32,83,10,10,35,5,16,20,12,11,6,1,9,30,29,12,21,2,4,4,4,12,20,4,8,2,5,8,46,41,9,5,35,29,4,19,9,2,32,9,6,19,2,46
,24,17,50,19,1,28,21,36,69,88,60,31,11,12,7,25,4,93,15,29,4,26,1,27,19,5,9,134,16,37,10,7,14,46,21,13,18,24,2,19,1,17,25,12,27,15,1,12,35,42,44,13,1,63,3,14,6,8,5,3,18,5,160,5,14,5,5,20,6,26,27,11,5,2,5,23,8,31,14,9,3,9,5,19,21,1,1,5,6,7,1,20,17,10,5,4,37,4,5,2,3,2,77,15,12,4,14,5,1,9,2,1,62,1,11,13,5,4,14,5,2,18,23,12,9,10,9,10,10,20,4,14,18,10,5,1,10,9,9,9,10,2,6,12,5,4,15,25,10,5
,9,10,105,49,23,8,35,50,4,49,16,4,13,24,45,26,13,15,16,6,49,27,6,73,17,9,27,69,3,26,9,6,8,51,17,28,17,18,25,6,5,2,3,3,2,48,9,3,12,5,5,5,26,3,13,24,47,10,18,59,21,38,2,1,14,17,7,11,44,41,49,11,90,32,31,6,19,31,95,25,78,2,4,27,13,16,9,3,3,2,4,7,17,18,65,89,35,1,1,48,4,22,12,40,11,91,1,11,5,104,16,3,4,20,5,5,8,5,12,22,5,5,9,8,6,5,1,13,4,2,5,28,5,10,3,1,4,3,8,11,25,7,14,1,12,6,27,13,5,11
,7,16,15,6,13,5,45,23,1,20,10,1,6,95,80,18,1,1,27,4,43,35,86,12,32,4,31,4,1,10,1,15,7,2,23,16,43,90,66,15,12,19,3,4,9,16,3,29,38,19,7,7,7,7,7,7,7,24,5,4,7,9,1,11,8,10,3,7,4,4,4,16,4,2,8,4,1,11,2,3,3,7,3,10,2,9,12,2,8,1,14,3,8,12,7,1,1,7,1,1,8,14,3,20,3,35,31,5,8,3,13,6,7,15,7,33,6,2,3,21,1,11,2,25,9,3,7,37,8,11,4,5,8,3,2,2,2,8,23,7,14,12,8,3,15,2,2,3,1,19
TFSocketAgent1 Average,25,18.8,55.9,39.1,30.5,21.8,39.5,57.9,41.8,39.2,34.1,33.3,27.5,62.3,36.7,39.1,21.8,35.8,26.9,23.9,27.2,25.2,25.1,18.5,21.3,12.7,20.2,57,8,33.5,28.3,10.2,14.3,21.6,17.4,29.6,32.1,35.2,16,14,11.8,16.4,16.6,11.2,23.8,19.5,12.6,31.3,22.5,20.2,18.7,16,14.7,17.9,11.2,16.1,13.8,19.2,18.8,15.9,15.1,17.4,25.5,9.9,15.5,16.7,16.8,33.6,12.9,14.1,18.4,10,23,14.8,22.6,13,12.4,14.5,20,15.2,41.9,38.2,10.7,15.7,13.3,12.6,15.7,11.9,6.2,23.6,12,19.3,11,43.5,29.9,14.3,25.9,15.5,6.9,26.2,14.3,21.6,23.1,17.3,11.1,40.9,12.8,14.4,14.9,44.2,13.7,8.3,17,13.4,16.6,10.9,8.2,7.2,16.2,33,11,17.7,17.2,14.1,42.2,15.3,13.8,25.2,13.3,14.3,11.6,10.1,11.8,13.9,11.8,11.2,19.5,11,18,13.2,8.4,15.3,7.4,13.6,15.6,26.1,12.7,10.7,11.5,17.9
